Flight_No,DateTime,Version_Booster,Launch_Site,Payload,Payload_Mass,Orbit,Customer,Launch_Outcome,Booster_Landing
64,"3 December 2018, 18:34:05",F9 B5 ♺ B1046.3 SHERPA,"VAFB, SLC-4E",SSO-A ,"~4,000 kg ",SSO,Spaceflight Industries,Success,Success 
65,"5 December 2018, 18:16",F9 B5 B1050,"CCAFS, SLC-40",SpaceX CRS-16 ,"2,500 kg ",LEO ,NASA ,Success,Failure 
66,"23 December 2018, 13:51",F9 B5 B1054,"CCAFS, SLC-40",GPS III-01 ,"4,400 kg ",MEO,USAF,Success,No attempt 
67,"11 January 2019, 15:31",F9 B5 ♺ B1049.2,"VAFB, SLC-4E",Iridium NEXT-8 ,"9,600 kg ",Polar LEO,Iridium Communications,Success,Success 
68,"22 February 2019, 01:45",F9 B5 ♺ B1048.3,"CCAFS, SLC-40",Nusantara Satu ,"4,850 kg ",GTO,PSN SpaceIL / IAI Air Force Research,Success,Success 
69,"2 March 2019, 07:49",F9 B5 B1051.1,"KSC, LC-39A",Crew Dragon Demo-1 ,"12,055 kg ",LEO ,NASA ,Success,Success 
FH 2,"11 April 2019, 22:35",Falcon Heavy B1055 core,"KSC, LC-39A",Arabsat-6A,"6,465 kg ",GTO,Arabsat,Success,Success 
FH 2,"11 April 2019, 22:35",B1052.1 ,"KSC, LC-39A",Arabsat-6A,"6,465 kg ",GTO,Arabsat,Success,Success 
FH 2,"11 April 2019, 22:35",B1053.1 ,"KSC, LC-39A",Arabsat-6A,"6,465 kg ",GTO,Arabsat,Success,Success 
70,"4 May 2019, 06:48",F9 B5 B1056.1,"CCAFS, SLC-40",SpaceX CRS-17 ,"2,495 kg ",LEO ,NASA ,Success,Success 
71,"24 May 2019, 02:30",F9 B5 ♺ B1049.3,"CCAFS, SLC-40",Starlink v0.9 ,"13,620 kg ",LEO,SpaceX,Success,Success 
72,"12 June 2019, 14:17",F9 B5 ♺ B1051.2,"VAFB, SLC-4E",RADARSAT Constellation ,"4,200 kg ",SSO,Canadian Space Agency ,Success,Success 
FH 3,"25 June 2019, 06:30",Falcon Heavy B1057 core,"KSC, LC-39A",Space Test Program Flight 2 ,"3,700 kg ",LEO / MEO,USAF,Success,Failure 
FH 3,"25 June 2019, 06:30",B1052.2 ♺,"KSC, LC-39A",Space Test Program Flight 2 ,"3,700 kg ",LEO / MEO,USAF,Success,Success 
FH 3,"25 June 2019, 06:30",B1053.2 ♺,"KSC, LC-39A",Space Test Program Flight 2 ,"3,700 kg ",LEO / MEO,USAF,Success,Success 
73,"25 July 2019, 22:01",F9 B5 ♺ B1056.2,CCAFS SLC-40,SpaceX CRS-18 ,"2,268 kg ",LEO ,NASA ,Success,Success 
74,"6 August 2019, 23:23",F9 B5 ♺ B1047.3,"CCAFS, SLC-40",AMOS-17,"6,500 kg ",GTO,Spacecom,Success,No attempt
75,"11 November 2019, 14:56",F9 B5 ♺ B1048.4,"CCAFS, SLC-40",Starlink 1 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
76,"5 December 2019, 17:29",F9 B5 B1059.1,"CCAFS, SLC-40",SpaceX CRS-19 ,"2,617 kg ",LEO ,NASA ,Success,Success 
77,"17 December 2019, 00:10",F9 B5 ♺ B1056.3,"CCAFS, SLC-40",JCSat-18 / Kacific 1,"6,956 kg ",GTO,Sky Perfect JSAT Kacific 1,Success,Success 
78,"7 January 2020, 02:19:21",F9 B5 ♺ B1049.4,"CCAFS, SLC-40",Starlink 2 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
79,"19 January 2020, 15:30",F9 B5 ♺ B1046.4,"KSC, LC-39A",Crew Dragon in-flight abort test ,"12,050 kg ",Sub-orbital,NASA ,Success,No attempt
80,"29 January 2020, 14:07",F9 B5 ♺ B1051.3,"CCAFS, SLC-40",Starlink 3 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
81,"17 February 2020, 15:05",F9 B5 ♺ B1056.4,"CCAFS, SLC-40",Starlink 4 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Failure 
82,"7 March 2020, 04:50",F9 B5 ♺ B1059.2,"CCAFS, SLC-40",SpaceX CRS-20 ,"1,977 kg ",LEO ,NASA ,Success,Success 
83,"18 March 2020, 12:16",F9 B5 ♺ B1048.5,"KSC, LC-39A",Starlink 5 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Failure 
84,"22 April 2020, 19:30",F9 B5 ♺ B1051.4,"KSC, LC-39A",Starlink 6 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
85,"30 May 2020, 19:22",F9 B5 B1058.1,"KSC, LC-39A",Crew Dragon Demo-2 ,"12,530 kg ",LEO ,NASA ,Success,Success 
86,"4 June 2020, 01:25",F9 B5 ♺ B1049.5,"CCAFS, SLC-40",Starlink 7 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
87,"13 June 2020, 09:21",F9 B5 ♺ B1059.3,"CCAFS, SLC-40","Starlink 8 v1.0 , SkySats-16, -17, -18","15,410 kg ",LEO,SpaceX Planet Labs,Success,Success 
88,"30 June 2020, 20:10:46",F9 B5 B1060.1,"CCAFS, SLC-40",GPS III-03 ,"4,311 kg ",MEO,U.S. Space Force,Success,Success 
89,"20 July 2020, 21:30",F9 B5 ♺ B1058.2,"CCAFS, SLC-40",ANASIS-II,"5,000–6,000 kg ",GTO,Republic of Korea Army,Success,Success 
90,"7 August 2020, 05:12",F9 B5 ♺ B1051.5,"KSC, LC-39A",Starlink 9 v1.0 ,"14,932 kg ",LEO,SpaceX Spaceflight Industries ,Success,Success 
91,18 August 2020 14:31,F9 B5 ♺ B1049.6,"CCAFS, SLC-40","Starlink 10 v1.0 SkySat-19, -20, -21","~15,440 kg ",LEO,SpaceX Planet Labs,Success,Success 
92,30 August 2020 23:18,F9 B5 ♺ B1059.4,"CCAFS, SLC-40",SAOCOM 1B,"3,130 kg ",SSO,CONAE PlanetIQ Tyvak,Success,Success 
93,3 September 2020 12:46:14,F9 B5 ♺ B1060.2,"KSC, LC-39A",Starlink 11 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
94,6 October 2020 11:29:34,F9 B5 ♺ B1058.3,"KSC, LC-39A",Starlink 12 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
95,18 October 2020 12:25:57,F9 B5 ♺ B1051.6,"KSC, LC-39A",Starlink 13 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
96,24 October 2020 15:31:34,F9 B5 ♺ B1060.3,"CCAFS, SLC-40",Starlink 14 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
97,5 November 2020 23:24:23,F9 B5 B1062.1,"CCAFS, SLC-40",GPS III-04 ,"4,311 kg ",MEO,USSF,Success,Success 
98,16 November 2020 00:27,F9 B5 B1061.1,"KSC, LC-39A",Crew-1 ,"~12,500 kg ",LEO ,NASA ,Success,Success 
99,21 November 2020 17:17:08,F9 B5 B1063.1,"VAFB, SLC-4E",Sentinel-6 Michael Freilich ,"1,192 kg ",LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success 
100,25 November 2020 02:13,F9 B5 ♺ B1049.7,"CCAFS, SLC-40",Starlink 15 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
101,6 December 2020 16:17:08,F9 B5 ♺ B1058.4,"KSC, LC-39A",SpaceX CRS-21 ,"2,972 kg ",LEO ,NASA ,Success,Success 
102,13 December 2020 17:30:00,F9 B5 ♺ B1051.7,"CCSFS, SLC-40",SXM-7,"7,000 kg ",GTO,Sirius XM,Success,Success 
103,19 December 2020 14:00:00,F9 B5 ♺ B1059.5,"KSC, LC-39A",NROL-108,Classified,LEO,NRO,Success,Success 
104,8 January 2021 02:15,F9 B5 ♺ B1060.4,"CCSFS, SLC-40",Türksat 5A,"3,500 kg ",GTO,Türksat,Success,Success 
105,20 January 2021 13:02,F9 B5 ♺ B1051.8,"KSC, LC-39A",Starlink 16 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
106,24 January 2021 15:00,F9 B5 ♺ B1058.5,"CCSFS, SLC-40",Transporter-1 ,"~5,000 kg ",SSO,Various,Success,Success 
107,4 February 2021 06:19,F9 B5 ♺ B1060.5,"CCSFS, SLC-40",Starlink 18 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
108,16 February 2021 03:59:37,F9 B5 ♺ B1059.6,"CCSFS, SLC-40",Starlink 19 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Failure 
109,4 March 2021 08:24,F9 B5 ♺ B1049.8,"KSC, LC-39A",Starlink 17 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
110,11 March 2021 08:13:29,F9 B5 ♺ B1058.6,"CCSFS, SLC-40",Starlink 20 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
111,14 March 2021 10:01,F9 B5 ♺ B1051.9,"KSC, LC-39A",Starlink 21 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
112,24 March 2021 08:28,F9 B5 ♺ B1060.6,"CCSFS, SLC-40",Starlink 22 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
113,7 April 2021 16:34,F9 B5 ♺ B1058.7,"CCSFS, SLC-40",Starlink 23 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
114,23 April 2021 9:49,F9 B5 ♺ B1061.2,"KSC, LC-39A",Crew-2 ,"~13,000 kg ",LEO ,NASA ,Success,Success 
115,29 April 2021 03:44,F9 B5 ♺ B1060.7,"CCSFS, SLC-40",Starlink 24 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
116,4 May 2021 19:01,F9 B5 ♺ B1049.9,"KSC, LC-39A",Starlink 25 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
117,9 May 2021 06:42,F9 B5 ♺ B1051.10,"CCSFS, SLC-40",Starlink 27 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
118,15 May 2021 22:56,F9 B5 ♺ B1058.8,"KSC, LC-39A",Starlink 26 v1.0  Capella-6 &Tyvak-0130,"~14,000 kg ",LEO,SpaceX Capella Space and Tyvak,Success,Success 
119,26 May 2021 18:59,F9 B5 ♺ B1063.2,"CCSFS, SLC-40",Starlink 28 v1.0 ,"15,600 kg ",LEO,SpaceX,Success,Success 
120,3 June 2021 17:29,F9 B5 B1067.1,"KSC, LC-39A",SpaceX CRS-22 ,"3,328 kg ",LEO ,NASA ,Success,Success 
121,6 June 2021 04:26,F9 B5 ♺ B1061.3,"CCSFS, SLC-40",SXM-8,"7,000 kg ",GTO,Sirius XM,Success,Success 
